"","mygz","cell","factor"
"1","wgEncodeAwgTfbsHaibHepg2Cebpbsc150V0416101UniPk.narrowPeak.gz","HepG2","CEBPB"
"2","wgEncodeAwgTfbsHaibK562Cebpbsc150V0422111UniPk.narrowPeak.gz","K562","CEBPB"
"3","wgEncodeAwgTfbsSydhA549CebpbIggrabUniPk.narrowPeak.gz","A549","CEBPB"
"4","wgEncodeAwgTfbsSydhHelas3CebpbIggrabUniPk.narrowPeak.gz","HeLa-S3","CEBPB"
"5","wgEncodeAwgTfbsSydhHelas3CfosUniPk.narrowPeak.gz","HeLa-S3","FOS"
"6","wgEncodeAwgTfbsSydhHelas3CjunIggrabUniPk.narrowPeak.gz","HeLa-S3","JUN"
"7","wgEncodeAwgTfbsSydhHepg2CjunIggrabUniPk.narrowPeak.gz","HepG2","JUN"
"8","wgEncodeAwgTfbsSydhImr90CebpbIggrabUniPk.narrowPeak.gz","IMR90","CEBPB"
"9","wgEncodeAwgTfbsSydhK562CebpbIggrabUniPk.narrowPeak.gz","K562","CEBPB"
"10","wgEncodeAwgTfbsSydhK562CjunUniPk.narrowPeak.gz","K562","JUN"
"11","wgEncodeAwgTfbsUchicagoK562EfosUniPk.narrowPeak.gz","K562","FOS"
"12","wgEncodeAwgTfbsUwA549CtcfUniPk.narrowPeak.gz","A549","CTCF"
"13","wgEncodeAwgTfbsUwHelas3CtcfUniPk.narrowPeak.gz","HeLa-S3","CTCF"
"14","wgEncodeAwgTfbsUwHepg2CtcfUniPk.narrowPeak.gz","HepG2","CTCF"
"15","wgEncodeAwgTfbsUwK562CtcfUniPk.narrowPeak.gz","K562","CTCF"
"16","wgEncodeAwgTfbsSydhHepg2CebpbForsklnUniPk.narrowPeak.gz","HepG2","CEBPB"
"17","wgEncodeAwgTfbsSydhHepg2CebpbIggrabUniPk.narrowPeak.gz","HepG2","CEBPB"
